,weight,prod_distance,time_delivery,target
0,73.0,2796.0,11.0,798952.4702069425
1,1.0,2796.0,7.0,576947.9627244101
2,55.0,2631.0,13.0,720237.0123281042
3,82.0,1734.0,7.0,677671.7724644243
4,82.0,2074.0,4.0,675912.2653672725
5,37.0,1731.0,8.0,823915.7308572765
6,10.0,2028.0,14.0,604837.0740008645
7,73.0,1734.0,10.0,734441.5212148326
8,10.0,2105.0,11.0,696575.8412369471
9,1.0,2796.0,10.0,724874.1787274452
10,46.0,2488.0,14.0,745489.562352141
11,37.0,1797.0,1.0,730893.2939110985
12,19.0,1161.0,14.0,521754.4918136714
13,19.0,2631.0,12.0,707226.4153672726
14,73.0,1731.0,1.0,665962.9318136714
15,10.0,1772.0,12.0,642398.7621824719
16,73.0,2135.0,11.0,576981.0247340297
17,1.0,1467.0,11.0,725459.6124644242
18,28.0,1346.0,4.0,703968.6924644242
19,10.0,2700.0,2.0,452035.4537311212
20,1.0,1567.0,7.0,664674.6540008646
21,19.0,1335.0,12.0,766031.1258336187
22,73.0,1161.0,1.0,802327.4412148325
23,1.0,1731.0,3.0,641770.6923281042
24,1.0,2501.0,4.0,480511.4179983788
25,19.0,1928.0,2.0,491131.7040008646
26,64.0,1284.0,1.0,494521.7924994892
27,55.0,1797.0,13.0,697330.5723281042
28,82.0,2913.0,11.0,491896.7040008646
29,19.0,2105.0,12.0,750954.9091183891
30,82.0,2098.0,1.0,798736.4702069425
31,19.0,1237.0,14.0,695083.6037311212
32,19.0,2796.0,12.0,672972.64180528
33,64.0,2098.0,1.0,671957.8904500827
34,82.0,2135.0,13.0,450546.1724994892
35,82.0,2700.0,7.0,732686.5212148326
36,10.0,2105.0,3.0,720886.3127244101
37,19.0,2098.0,11.0,635646.8640008646
38,55.0,2680.0,4.0,571095.182182472
39,28.0,2796.0,8.0,454266.4923281041
40,64.0,1772.0,6.0,668092.1537311212
41,1.0,1567.0,8.0,606908.972182472
42,28.0,1928.0,6.0,668549.4733498312
43,82.0,2476.0,1.0,503300.2987274453
44,1.0,1335.0,4.0,722843.1858336186
45,19.0,1804.0,12.0,640029.7037311213
46,55.0,2074.0,14.0,697429.5723281042
47,37.0,1237.0,2.0,557840.8108572764
48,64.0,2471.0,3.0,721151.6518136715
49,82.0,1459.0,7.0,803299.4412148325
50,73.0,1772.0,2.0,573221.8037311212
51,55.0,1335.0,8.0,647687.6587274452
52,82.0,1459.0,5.0,731008.3891183891
53,37.0,2416.0,7.0,711651.1314326305
54,10.0,1928.0,9.0,604756.0740008645
55,19.0,1734.0,14.0,803491.9318735134
56,10.0,1284.0,3.0,566389.0333498312
57,73.0,2796.0,2.0,783230.1969504637
58,73.0,1928.0,1.0,587586.9949412772
59,1.0,1335.0,1.0,638663.2579669729
60,37.0,2028.0,1.0,724767.4333498311
61,28.0,1161.0,9.0,699653.6049294312
62,64.0,1346.0,14.0,450942.1724994892
63,1.0,1731.0,5.0,634831.5718136714
64,82.0,2471.0,11.0,556810.6449294311
65,10.0,2700.0,7.0,647100.007679752
66,37.0,1804.0,14.0,724667.1787274452
67,46.0,1346.0,4.0,733494.6076797519
68,82.0,1567.0,6.0,702204.7823521411
69,73.0,1335.0,12.0,643339.7027244101
70,10.0,2416.0,6.0,608574.2537311212
71,19.0,2118.0,4.0,481276.4179983788
72,64.0,1928.0,5.0,736667.8579669729
73,55.0,2471.0,7.0,836925.9104500827
74,1.0,1459.0,2.0,454698.35272441007
75,1.0,1459.0,6.0,536513.0853577651
76,73.0,1467.0,5.0,613316.5447340297
77,82.0,2913.0,4.0,557128.2302069425
78,82.0,2231.0,10.0,747516.9133498312
79,28.0,1804.0,11.0,706375.7769504638
80,82.0,1284.0,3.0,602333.9818052801
81,82.0,2231.0,2.0,694322.5124994892
82,37.0,1335.0,12.0,667950.3679983787
83,10.0,2680.0,10.0,724322.9479983787
84,46.0,1237.0,5.0,765953.5279983788
85,10.0,2118.0,1.0,646452.007679752
86,82.0,1731.0,13.0,716153.707966973
87,10.0,2501.0,10.0,734154.0240008646
88,64.0,1804.0,12.0,536801.5412369472
89,19.0,2105.0,10.0,560401.3212148325
90,37.0,2700.0,7.0,641394.1153672726
91,1.0,2028.0,10.0,640074.31180528
92,1.0,1804.0,11.0,496087.8812369472
93,64.0,2476.0,7.0,721684.1149412772
94,28.0,2118.0,7.0,556675.6449294311
95,55.0,2700.0,12.0,760746.7153672726
96,28.0,1467.0,10.0,612308.5447340297
97,46.0,1346.0,12.0,752605.922182472
98,55.0,1567.0,6.0,530004.0766874629
99,28.0,2105.0,3.0,767721.4004500827
100,64.0,2043.0,8.0,570750.1366874628
101,10.0,2074.0,7.0,761538.7153672726
102,19.0,2471.0,3.0,597211.2602069426
103,1.0,2098.0,3.0,583775.0699192637
104,46.0,2416.0,8.0,737726.5037311212
105,46.0,2913.0,4.0,673810.5847340297
106,73.0,2471.0,10.0,560723.65180528
107,73.0,2231.0,10.0,612321.8327244101
108,19.0,2231.0,9.0,793570.5704500827
109,64.0,2163.0,12.0,720354.0123281042
110,64.0,1731.0,1.0,637410.1125970788
111,64.0,1346.0,2.0,680936.3491183892
112,73.0,2631.0,13.0,679607.3399192637
113,1.0,2501.0,10.0,770923.712182472
114,10.0,2501.0,8.0,498100.22272441006
115,46.0,2043.0,7.0,607428.1966874629
116,1.0,1459.0,7.0,698787.4427244101
117,82.0,2631.0,6.0,729840.2939110985
118,10.0,2135.0,13.0,725422.172352141
119,37.0,2796.0,4.0,544404.0924644242
120,19.0,2118.0,7.0,745246.562352141
121,64.0,2488.0,12.0,596902.1349294311
122,73.0,2118.0,10.0,769801.1749412772
123,55.0,1804.0,13.0,692006.4525970788
124,46.0,2796.0,5.0,600906.4781415536
125,19.0,1346.0,2.0,603115.3569504637
126,37.0,2135.0,1.0,760948.6318052801
127,1.0,1928.0,1.0,804276.3369504637
128,64.0,1804.0,2.0,705416.8812148325
129,55.0,1797.0,10.0,675753.6369504638
